,species,w_min,w_inf,w_mat,beta,sigma,k_vb,erepro,ks,m,r_max,h
2,mesozooplankton,3.16E-08,0.003162278,3.16E-05,1.00E+05,2,0.2,1,78,-0.59,6396.636301,39
3,macrozooplankton,2.71E-05,4.298662347,0.034145489,1000,2,0.2,1,66,-2.4,0.009035489,33
4,mesopelagic.fishes,0.001,50.85,11.275,441.6666667,1.3,0.360833333,1,3.7373102,NA,0.000305939,NA
5,jellies,0.001,398.1071706,3.981071706,1000,1.3,0.2,1,40,0.73,0.000143203,20
6,bathypelagic.fishes,0.001721425,307.2,62.55,425,1.3,0.1825,1,2.5707036,NA,7.67E-05,NA
7,flying.birds,1718.541667,1800,1750,58.1350328,1.3,0.2,0.5,378,NA,4.19E-06,189
8,small.divers,4266.666667,4933.333333,4266.666667,293.7879413,1.3,0.2,0.6,132,NA,2.45E-06,66
9,squids,0.013166589,8812.105145,128.0542765,50,1.3,0.2,1,9.1551151,NA,3.81E-07,NA
10,shelf.and.coastal.fishes,0.023265326,64300,6405.975,225,1.3,0.105,1,8.9773737,NA,2.29E-08,NA
11,medium.divers,52887.5,300875,294750,686.1885872,1.3,0.2,0.6,77,NA,7.83E-10,38.5
12,apex.predators,345000,3174000,2624000,1.063099815,1.3,0.2,0.5,51,NA,7.74E-11,25.5
13,large.divers,1892500,19262000,19262000,6673.67555,1.3,0.2,0.5,46.2,NA,5.16E-12,23.1
14,baleen.whales,4325000,43250000,43250000,260669.521,1.3,0.2,0.5,26.3,1.5,1.09E-12,13.15